Type,Price,Location,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
apartment,4300.0,Les Berges Du Lac 1,180,3,3,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2500.0,La Marsa,94,1,1,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2700.0,Gammarth,200,2,1,New,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no
house,2850.0,Hammamet,442,4,3,New,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes
apartment,4500.0,Les Berges Du Lac 2,180,3,2,New,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2500.0,Les Berges Du Lac 2,130,2,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1200.0,La Marsa,130,2,1,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,3500.0,La Marsa,130,2,2,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,4000.0,La Marsa,110,2,1,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,3000.0,La Marsa,200,3,3,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes
house,2300.0,Cité Erriadh,160,3,2,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no
apartment,2000.0,Les Berges Du Lac 2,70,1,1,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2300.0,Les Berges Du Lac 2,170,3,2,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,2200.0,Les Berges Du Lac 2,120,2,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1400.0,Cité Ennasr 2,125,2,2,New,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,1500.0,Sousse Ville,100,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
apartment,1400.0,Cité Ennasr 2,115,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
apartment,900.0,Riadh al Andalous,85,1,1,Good condition,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,2700.0,La Marsa,140,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1800.0,Les Jardins de Carthage,110,2,1,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no
apartment,1400.0,Les Jardins de Carthage,60,1,1,Good condition,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,3000.0,Les Berges Du Lac 2,150,3,3,New,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no
apartment,1900.0,Ain Zaghouan Nord,150,3,3,Good condition,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,1400.0,Les Berges Du Lac 1,95,2,1,Good condition,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,3000.0,Gammarth,120,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes
apartment,2800.0,Cité El Khalil,160,3,1,New,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2200.0,Les Berges Du Lac 1,80,1,1,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no
apartment,1900.0,Ain Zaghouan Nord,80,1,1,Good condition,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
house,1500.0,Le Kram,70,1,1,Good condition,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
house,10000.0,Gammarth Supérieur,350,4,2,Good condition,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
apartment,1900.0,Les Jardins de Carthage,70,1,1,Good condition,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,1100.0,Chotrana 1,55,1,1,Good condition,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
house,8000.0,Gammarth,900,4,2,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes
apartment,8000.0,La Marsa,350,3,2,New,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
house,8000.0,Sidi Bousaid,320,4,4,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no
house,6500.0,La Marsa,600,5,2,Good condition,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1100.0,Cité El Wafa,120,2,1,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
house,1200.0,Ain Zaghouan Sud,120,3,2,Good condition,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1600.0,La Marsa,120,2,1,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no
apartment,1100.0,Ain Zaghouan Nord,65,1,1,Good condition,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1450.0,La Marsa,174,2,1,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no
house,1400.0,La Soukra,120,2,1,Good condition,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
house,3500.0,La Marsa,400,4,1,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,4500.0,La Marsa,230,3,2,Good condition,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,5000.0,La Marsa,135,3,2,Good condition,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,2500.0,Sidi Daoued,200,3,3,Good condition,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,3300.0,La Marsa,150,3,2,Good condition,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes
apartment,3000.0,La Marsa,85,1,1,Good condition,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no
apartment,3000.0,Sidi Bousaid,100,2,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
apartment,3000.0,La Marsa,225,4,2,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,2400.0,La Marsa,170,3,3,New,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no
apartment,1300.0,La Marsa,100,2,1,Good condition,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1400.0,La Marsa,150,3,3,Good condition,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
house,800.0,La Marsa,80,1,1,Good condition,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
house,6500.0,La Soukra,300,5,2,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,2800.0,Les Jardins de Carthage,230,3,2,Good condition,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1200.0,La Soukra,90,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no
apartment,4800.0,Gammarth Supérieur,250,3,4,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,4500.0,La Marsa,170,3,3,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2500.0,Les Jardins de Carthage,175,3,3,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,2100.0,La Marsa,60,1,1,New,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no
house,3500.0,Les Jardins de Carthage,170,3,2,New,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
house,6500.0,Gammarth Supérieur,450,6,4,New,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes
house,3500.0,La Marsa,250,4,2,New,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
house,8000.0,La Marsa,500,4,3,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no
apartment,2300.0,Les Berges Du Lac 1,60,1,1,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no
apartment,4000.0,La Marsa,100,2,2,New,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
house,6500.0,La Marsa,400,4,4,New,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no
house,4500.0,Gammarth Supérieur,400,5,4,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no
apartment,850.0,Ain Zaghouan Nord,74,1,1,Good condition,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1100.0,Les Jardins de Carthage,80,1,1,Good condition,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,3500.0,La Marsa,150,2,3,Good condition,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no
house,2700.0,Sidi Daoued,200,4,2,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,3500.0,La Marsa,125,2,1,Good condition,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
house,3500.0,La Goulette inLa Goulette,330,3,3,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes
apartment,3500.0,La Marsa,130,3,2,Good condition,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,3500.0,Gammarth,175,3,2,New,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,3500.0,Cité Les Pins,350,3,4,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
apartment,3500.0,La Marsa,120,3,3,Good condition,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,1100.0,Cité Ennasr inMnihla,65,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no
apartment,1050.0,Ain Zaghouan Nord,60,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,7000.0,Tunis,320,4,3,New,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
house,5000.0,La Marsa,300,5,2,New,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,2500.0,Le Kram,160,3,1,New,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2500.0,La Marsa,119,2,1,New,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1300.0,Le Kram,60,1,1,New,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
apartment,2000.0,Les Jardins de Carthage,70,1,1,Good condition,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no
apartment,1500.0,Les Jardins de Carthage,100,1,1,New,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,1600.0,La Soukra,180,3,2,Good condition,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,1850.0,Les Jardins de Carthage,153,4,2,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1250.0,Les Jardins de Carthage,90,3,2,New,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no
apartment,1000.0,La Soukra,90,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,1900.0,Le Kram,70,1,1,Good condition,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2200.0,Le Kram,90,2,1,Good condition,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
apartment,4000.0,Gammarth,210,3,1,Good condition,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2500.0,La Marsa,100,2,1,Good condition,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes
apartment,7000.0,Gammarth Supérieur,330,3,4,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes
house,6000.0,Gammarth Supérieur,350,3,3,New,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes
apartment,3500.0,La Marsa,160,3,3,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes
apartment,2850.0,Ain Zaghouan Nord,110,2,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1400.0,La Soukra,130,3,2,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,950.0,Ain Zaghouan Nord,63,1,1,New,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,6000.0,Gammarth Supérieur,400,3,3,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
apartment,1600.0,La Marsa,100,1,1,New,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no
apartment,4900.0,Les Berges Du Lac 2,320,4,5,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
apartment,1700.0,Chotrana 1,180,3,3,New,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no
apartment,1600.0,Les Jardins de Carthage,200,3,3,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
house,10000.0,Les Berges Du Lac 2,600,5,4,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
house,6500.0,Gammarth,700,3,3,New,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no
house,8000.0,La Marsa,1500,3,3,New,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes
house,6500.0,La Marsa,300,3,3,New,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
apartment,2500.0,La Marsa,120,2,2,Good condition,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,2500.0,La Marsa,160,3,2,Good condition,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,2400.0,Gammarth,300,3,2,Good condition,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
apartment,1800.0,La Marsa,70,1,1,Good condition,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
apartment,1800.0,Cité Les Pins,140,3,2,Good condition,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
house,1750.0,La Soukra,170,3,2,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1100.0,Chotrana 2,78,1,1,New,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,850.0,Hammamet Nord,100,2,1,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1350.0,Ain Zaghouan Nord,75,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1800.0,Sidi Daoued,75,1,1,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no
apartment,1100.0,Khezama Ouest,130,2,2,New,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no
apartment,130.0,Hammamet Nord,60,1,1,Good condition,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
house,750.0,Sidi Frej,66,1,1,New,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no
house,9000.0,Gammarth,1200,3,5,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no
house,2500.0,La Marsa,100,2,1,Good condition,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes
apartment,1550.0,Cité El Khalil,130,3,2,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,4000.0,Cité Les Pins,400,7,5,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no
apartment,1700.0,Chotrana 1,150,2,2,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,5000.0,Gammarth,200,2,2,New,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no
house,6000.0,La Marsa,600,4,1,New,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no
apartment,2200.0,Ain Zaghouan Nord,125,2,2,Good condition,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,4000.0,Les Berges Du Lac 2,100,1,1,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes
house,6000.0,Sidi Bouzid,300,3,2,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no
house,900.0,Cité El Khalil,90,2,1,Good condition,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,900.0,La Marsa,90,2,1,Good condition,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,850.0,Chotrana 3,85,2,1,Good condition,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,800.0,Tantana,110,3,1,Good condition,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
apartment,1000.0,Tantana,110,2,1,Good condition,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
house,6000.0,Gammarth,360,4,3,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes
house,6500.0,Gammarth,300,4,3,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no
house,6500.0,Gammarth,250,3,2,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
house,6500.0,Gammarth,500,3,3,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no
apartment,2200.0,Les Jardins de Carthage,70,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no
house,6000.0,Cité Les Pins,350,3,2,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
apartment,2500.0,La Marsa,100,2,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes
apartment,2500.0,Cité Du Stade,55,2,1,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes
